지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2021-04-05,423.5523821
115,울릉도독도(감),2021-04-06,422.9778362
115,울릉도독도(감),2021-04-07,425.1221298
115,울릉도독도(감),2021-04-08,424.3491442
115,울릉도독도(감),2021-04-09,424.5334835
115,울릉도독도(감),2021-04-10,423.9255919
115,울릉도독도(감),2021-04-11,423.5465579
115,울릉도독도(감),2021-04-12,423.032571
115,울릉도독도(감),2021-04-13,423.3772443
115,울릉도독도(감),2021-04-14,424.7101309
115,울릉도독도(감),2021-04-15,425.0839414
115,울릉도독도(감),2021-04-16,424.0718226
115,울릉도독도(감),2021-04-17,425.5868621
115,울릉도독도(감),2021-04-18,425.2778574
115,울릉도독도(감),2021-04-19,425.8819261
115,울릉도독도(감),2021-04-20,425.1581214
115,울릉도독도(감),2021-04-25,424.0037984
115,울릉도독도(감),2021-04-26,424.332744
115,울릉도독도(감),2021-04-27,423.5241927
115,울릉도독도(감),2021-04-30,423.5437611
115,울릉도독도(감),2021-05-02,425.011152
115,울릉도독도(감),2021-05-04,425.2842532
115,울릉도독도(감),2021-05-05,425.7813749
115,울릉도독도(감),2021-05-06,425.4335032
115,울릉도독도(감),2021-05-07,422.9651002
115,울릉도독도(감),2021-05-08,424.4980726
115,울릉도독도(감),2021-05-09,426.0060066
115,울릉도독도(감),2021-05-14,424.4664819
115,울릉도독도(감),2021-05-26,423.6037055
115,울릉도독도(감),2021-05-27,421.198827
115,울릉도독도(감),2021-05-30,421.0800262
115,울릉도독도(감),2021-05-31,419.9172519
115,울릉도독도(감),2021-06-01,419.4907494
115,울릉도독도(감),2021-06-03,421.6636476
115,울릉도독도(감),2021-06-04,420.7746691
115,울릉도독도(감),2021-06-05,423.6676375
115,울릉도독도(감),2021-06-11,423.7533623
115,울릉도독도(감),2021-06-16,414.1600421
115,울릉도독도(감),2021-06-24,411.9576605
115,울릉도독도(감),2021-06-25,411.1449934
115,울릉도독도(감),2021-06-26,412.1485896
115,울릉도독도(감),2021-06-29,413.5926603
