년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2013,02,12,82296,76879,62525,14354,23,2013/02/12(12:00)
2013,02,11,82296,76286,56338,19948,35.4,2013/02/11(24:00)
2013,02,10,82296,75694,54678,21016,38.4,2013/02/10(01:00)
2013,02,09,82296,76723,62468,14255,22.8,2013/02/09(01:00)
2013,02,08,82296,79482,74196,5286,7.1,2013/02/08(01:00)
2013,02,07,82296,79338,73964,5374,7.3,2013/02/07(10:00)
2013,02,06,82296,79022,70985,8037,11.3,2013/02/06(10:00)
2013,02,05,82296,78931,72515,6416,8.8,2013/02/05(10:00)
2013,02,04,82296,78475,70352,8123,11.5,2013/02/04(10:00)
2013,02,03,82296,76538,60333,16205,26.9,2013/02/03(24:00)
2013,02,02,82296,75023,62234,12789,20.5,2013/02/02(24:00)
2013,02,01,82296,78642,67350,11292,16.8,2013/02/01(10:00)
2013,01,31,82296,79320,69136,10184,14.7,2013/01/31(10:00)
2013,01,30,82296,79606,70366,9240,13.1,2013/01/30(10:00)
2013,01,29,82296,80537,72309,8228,11.4,2013/01/29(10:00)
2013,01,28,82296,79415,73589,5826,7.9,2013/01/28(10:00)
2013,01,27,82296,77344,63092,14252,22.6,2013/01/27(01:00)
2013,01,26,82296,79541,66011,13530,20.5,2013/01/26(01:00)
2013,01,25,82296,80578,73340,7238,9.9,2013/01/25(10:00)
2013,01,24,82296,80037,70895,9142,12.9,2013/01/24(10:00)
2013,01,23,82296,79568,70555,9013,12.8,2013/01/23(10:00)
2013,01,22,82296,78867,70439,8428,12,2013/01/22(10:00)
2013,01,21,82296,80040,71696,8344,11.6,2013/01/21(15:00)
2013,01,20,82296,78117,61013,17104,28,2013/01/20(01:00)
2013,01,19,82296,79390,64737,14653,22.6,2013/01/19(01:00)
2013,01,18,82296,80077,74135,5942,8,2013/01/18(10:00)
2013,01,17,82296,81332,73613,7719,10.5,2013/01/17(10:00)
2013,01,16,82296,80558,72808,7750,10.6,2013/01/16(10:00)
2013,01,15,82296,80545,73364,7181,9.8,2013/01/15(10:00)
2013,01,14,82296,80296,72869,7427,10.2,2013/01/14(10:00)
2013,01,13,82296,78708,61334,17374,28.3,2013/01/13(01:00)
2013,01,12,82296,78759,65458,13301,20.3,2013/01/12(01:00)
2013,01,11,82296,81220,75583,5637,7.5,2013/01/11(10:00)
2013,01,10,82296,81360,75570,5790,7.7,2013/01/10(10:00)
2013,01,09,82296,81318,75609,5709,7.6,2013/01/09(10:00)
2013,01,08,82296,80944,75220,5724,7.6,2013/01/08(10:00)
2013,01,07,82296,80129,75383,4746,6.3,2013/01/07(10:00)
